,year,date,lake_id,taxon,counted_dem?,dem,infect,count,eggs,counted_all?,fewer_10_hosts?,other_inf_sp,notes,parasite,parasite2,demography
1,2022,4/8/22,Bear Creek,dpa,yes,A,U,78,117,no,no,NA,NA,uninfected,,adult
2,2022,4/8/22,Bear Creek,dpa,yes,J,U,232,NA,no,no,NA,NA,uninfected,,juvenile
3,2022,4/27/22,Bear Creek,dam,yes,A,U,28,76,no,no,NA,NA,uninfected,,adult
4,2022,4/27/22,Bear Creek,dam,yes,J,U,17,NA,no,no,NA,NA,uninfected,,juvenile
5,2022,4/27/22,Bear Creek,dam,yes,M,U,2,NA,no,no,NA,NA,uninfected,,male
6,2022,4/27/22,Bear Creek,dpa,yes,A,U,104,197,no,no,NA,NA,uninfected,,adult
7,2022,4/27/22,Bear Creek,dpa,yes,E,U,3,NA,no,no,NA,NA,uninfected,,ephippial
8,2022,4/27/22,Bear Creek,dpa,yes,J,U,208,NA,no,no,NA,NA,uninfected,,juvenile
9,2022,4/27/22,Bear Creek,dpa,yes,M,U,1,NA,no,no,NA,NA,uninfected,,male
10,2022,5/25/22,Bear Creek,dam,yes,A,U,31,38,yes,no,NA,NA,uninfected,,adult
11,2022,5/25/22,Bear Creek,dam,yes,J,U,64,NA,yes,no,NA,NA,uninfected,,juvenile
12,2022,5/25/22,Bear Creek,dpa,yes,A,U,24,44,yes,no,NA,NA,uninfected,,adult
13,2022,5/25/22,Bear Creek,dpa,yes,J,U,21,NA,yes,no,NA,NA,uninfected,,juvenile
14,2022,6/20/22,Bear Creek,bos,no,NA,U,161,NA,yes,no,NA,NA,uninfected,,check
15,2022,6/20/22,Bear Creek,dpa,yes,A,U,1,2,yes,no,NA,NA,uninfected,,adult
16,2022,6/20/22,Bear Creek,dpa,yes,J,U,0,NA,yes,no,NA,NA,uninfected,,juvenile
160,2021,4/14/21,Catfish,dla,yes,A,L+B,1,NA,no,no,NA,NA,larssonia,brood,adult
598,2022,4/21/22,Deer,dla,yes,A,L+B,2,0,no,no,NA,NA,larssonia,brood,adult
19,2021,4/2/21,Big Sister,bos,no,NA,U,44,NA,no,no,NA,NA,uninfected,,check
20,2021,4/2/21,Big Sister,dam,no,NA,L,4,NA,no,no,NA,NA,larssonia,,check
21,2021,4/2/21,Big Sister,dam,no,NA,B,5,NA,no,no,NA,NA,brood,,check
22,2021,4/2/21,Big Sister,dam,no,NA,U,281,NA,no,no,NA,NA,uninfected,,check
23,2021,4/2/21,Big Sister,dla,no,NA,U,1,NA,no,no,NA,NA,uninfected,,check
24,2021,4/7/21,Big Sister,bos,no,NA,U,22,NA,no,no,NA,NA,uninfected,,check
25,2021,4/7/21,Big Sister,dam,yes,A,L,19,7,no,no,NA,NA,larssonia,,adult
26,2021,4/7/21,Big Sister,dam,yes,A,L,32,NA,no,no,NA,NA,larssonia,,adult
27,2021,4/7/21,Big Sister,dam,yes,A,U,90,68,no,no,NA,NA,uninfected,,adult
28,2021,4/7/21,Big Sister,dam,yes,E,U,3,NA,no,no,NA,NA,uninfected,,ephippial
29,2021,4/7/21,Big Sister,dam,yes,J,U,217,NA,no,no,NA,NA,uninfected,,juvenile
30,2021,4/7/21,Big Sister,dam,yes,M,U,2,NA,no,no,NA,undercounted M,uninfected,,male
31,2021,4/14/21,Big Sister,dam,yes,A,B,3,NA,no,no,NA,NA,brood,,adult
32,2021,4/14/21,Big Sister,dam,yes,A,L,8,0,no,no,NA,NA,larssonia,,adult
33,2021,4/14/21,Big Sister,dam,yes,A,U,217,170,no,no,NA,NA,uninfected,,adult
34,2021,4/14/21,Big Sister,dam,yes,J,U,164,NA,no,no,NA,NA,uninfected,,juvenile
35,2021,4/14/21,Big Sister,dam,yes,M,U,5,NA,no,no,NA,NA,uninfected,,male
36,2021,4/14/21,Big Sister,dla,yes,A,U,1,5,no,no,NA,NA,uninfected,,adult
37,2021,4/14/21,Big Sister,dla,yes,J,U,1,NA,no,no,NA,NA,uninfected,,juvenile
38,2021,4/21/21,Big Sister,dam,yes,A,B,2,NA,no,no,NA,NA,brood,,adult
39,2021,4/21/21,Big Sister,dam,yes,A,L,9,2,no,no,NA,NA,larssonia,,adult
40,2021,4/21/21,Big Sister,dam,yes,A,U,218,315,no,no,NA,NA,uninfected,,adult
41,2021,4/21/21,Big Sister,dam,yes,E,U,3,NA,no,no,NA,NA,uninfected,,ephippial
42,2021,4/21/21,Big Sister,dam,yes,J,U,154,0,no,no,NA,NA,uninfected,,juvenile
43,2021,4/21/21,Big Sister,dam,yes,M,U,4,NA,no,no,NA,NA,uninfected,,male
44,2021,4/28/21,Big Sister,dam,yes,A,U,181,296,no,no,NA,NA,uninfected,,adult
45,2021,4/28/21,Big Sister,dam,yes,E,U,3,NA,no,no,NA,NA,uninfected,,ephippial
46,2021,4/28/21,Big Sister,dam,yes,J,U,131,NA,no,no,NA,NA,uninfected,,juvenile
47,2021,4/28/21,Big Sister,dam,yes,M,U,4,NA,no,no,NA,NA,uninfected,,male
48,2021,5/5/21,Big Sister,dam,yes,A,U,39,50,yes,no,NA,lots bosmina,uninfected,,adult
49,2021,5/5/21,Big Sister,dam,yes,J,U,38,NA,yes,no,NA,lots bosmina,uninfected,,juvenile
50,2021,5/5/21,Big Sister,dam,yes,M,U,2,NA,yes,no,NA,lots bosmina,uninfected,,male
51,2021,5/12/21,Big Sister,dam,yes,A,U,7,6,yes,no,NA,lots bosmina,uninfected,,adult
52,2021,5/12/21,Big Sister,dam,yes,J,U,8,NA,yes,no,NA,lots bosmina,uninfected,,juvenile
53,2021,5/19/21,Big Sister,dam,yes,A,U,11,14,yes,no,NA,NA,uninfected,,adult
54,2021,5/19/21,Big Sister,dam,yes,J,U,7,NA,yes,no,NA,NA,uninfected,,juvenile
605,2022,5/11/22,Deer,dla,yes,A,L+B,2,0,no,no,NA,NA,larssonia,brood,adult
56,2021,6/23/21,Big Sister,dam,yes,A,L,5,0,yes,no,NA,lots bosmina,larssonia,,adult
