"","lake_date","parasite","total_count","abundance","prev","lake_id","date","pH","o_surf","o_mean","t.max","t.min","t.surf"
"1","Big Sister_2021-04-02","brood",5,335,0.0149253731343284,"Big Sister",2021-04-02,6.87125,7.395,6.6975,17,15.7222222222222,16.6944444444444
"2","Big Sister_2021-04-02","larssonia",4,335,0.0119402985074627,"Big Sister",2021-04-02,6.87125,7.395,6.6975,17,15.7222222222222,16.6944444444444
"3","Big Sister_2021-04-07","larssonia",51,385,0.132467532467532,"Big Sister",2021-04-07,NA,NA,NA,NA,NA,NA
"4","Big Sister_2021-04-14","brood",3,399,0.0075187969924812,"Big Sister",2021-04-14,7.05166666666667,8.13,6.03,21.6666666666667,17.6111111111111,21.6666666666667
"5","Big Sister_2021-04-14","larssonia",8,399,0.0200501253132832,"Big Sister",2021-04-14,7.05166666666667,8.13,6.03,21.6666666666667,17.6111111111111,21.6666666666667
"6","Big Sister_2021-04-21","larssonia",9,390,0.0230769230769231,"Big Sister",2021-04-21,7.14444444444444,7.4175,6.14888888888889,20.3333333333333,18.5555555555556,20.2638888888889
"7","Big Sister_2021-04-21","brood",2,390,0.00512820512820513,"Big Sister",2021-04-21,7.14444444444444,7.4175,6.14888888888889,20.3333333333333,18.5555555555556,20.2638888888889
"8","Big Sister_2021-06-23","larssonia",5,67,0.0746268656716418,"Big Sister",2021-06-23,6.99375,7.07333333333333,4.72375,26.3333333333333,21.6666666666667,26.2407407407407
"9","Big Sister_2021-07-13","larssonia",1,8,0.125,"Big Sister",2021-07-13,7.065,7.62,4.28444444444444,28.1666666666667,22.5,28.1111111111111
"10","Big Sister_2021-08-04","larssonia",2,30,0.0666666666666667,"Big Sister",2021-08-04,6.7885,6.1125,4.165,28.3333333333333,24.2222222222222,28.3194444444444
"11","Big Sister_2021-08-26","larssonia",9,319,0.0282131661442006,"Big Sister",2021-08-26,6.90888888888889,7.65166666666667,3.85722222222222,29.7222222222222,23.9444444444444,29.4907407407407
"12","Big Sister_2021-09-14","larssonia",5,316,0.0158227848101266,"Big Sister",2021-09-14,6.921875,6.69833333333333,4.97375,27.7777777777778,24.6666666666667,26.6481481481481
"13","Big Sister_2021-10-12","larssonia",1,277,0.0036101083032491,"Big Sister",2021-10-12,6.524375,7.60166666666667,7.08125,24.4444444444444,22.4444444444444,24.0185185185185
"14","Big Sister_2021-11-22","larssonia",6,217,0.0276497695852535,"Big Sister",2021-11-22,7.32,10.3075,10.2828571428571,14.8333333333333,12.1111111111111,13.75
"15","Big Sister_2021-12-14","larssonia",2,167,0.0119760479041916,"Big Sister",2021-12-14,7.518,10.285,10.3,11.7777777777778,9.94444444444444,11.4444444444444
"16","Big Sister_2022-02-18","larssonia",1,321,0.00311526479750779,"Big Sister",2022-02-18,6.92375,10.6185714285714,11.041875,13.5555555555556,9.22222222222222,13.0079365079365
"17","Big Sister_2022-03-07","larssonia",6,382,0.0157068062827225,"Big Sister",2022-03-07,6.805625,9.32142857142857,7.799375,17.8333333333333,12,17.5634920634921
"18","Big Sister_2022-03-28","larssonia",78,467,0.167023554603854,"Big Sister",2022-03-28,6.901875,8.3325,7.03875,15.8888888888889,14.5,15.7430555555556
"19","Big Sister_2022-04-21","larssonia",54,431,0.125290023201856,"Big Sister",2022-04-21,6.89882352941176,8.71833333333333,7.50882352941176,19.7222222222222,16.1111111111111,19.287037037037
"20","Big Sister_2022-05-11","larssonia",9,555,0.0162162162162162,"Big Sister",2022-05-11,6.558125,7.93857142857143,7.524375,23.4444444444444,20.5555555555556,23.1190476190476
"21","Big Sister_2022-06-03","pasteuria",51,330,0.154545454545455,"Big Sister",2022-06-03,7.88466666666667,8.08857142857143,5.48066666666667,29.3033333333333,22.835,28.7578571428571
"22","Big Sister_2022-06-22","metsch",19,152,0.125,"Big Sister",2022-06-22,7.28,6.45666666666667,4.66142857142857,28.625,25.1316666666667,28.4546296296296
"23","Big Sister_2022-11-10","brood",1,336,0.00297619047619048,"Big Sister",2022-11-10,5.45625,6.4875,6.39875,17.7066666666667,17.5288888888889,17.6981944444444
"24","Catfish_2021-04-14","brood",2,195,0.0102564102564103,"Catfish",2021-04-14,6.9075,8.475,7.14,18.2777777777778,16.8333333333333,18.25
"25","Catfish_2021-04-14","larssonia",118,195,0.605128205128205,"Catfish",2021-04-14,6.9075,8.475,7.14,18.2777777777778,16.8333333333333,18.25
"26","Catfish_2021-04-21","larssonia",86,340,0.252941176470588,"Catfish",2021-04-21,7.23,7.845,6.77166666666667,17.1666666666667,16.7222222222222,17.1666666666667
"27","Catfish_2021-04-28","larssonia",33,245,0.13469387755102,"Catfish",2021-04-28,7.045,9.79666666666667,7.58166666666667,19.0555555555556,15.3888888888889,18.9259259259259
"28","Catfish_2021-05-05","larssonia",20,232,0.0862068965517241,"Catfish",2021-05-05,6.66285714285714,6.5025,4.06285714285714,19.3888888888889,16.1111111111111,19.1527777777778
