tank,exp,conc_ank,conc_mic,chl_ugL,chl_rfu,pc_ugL,pc_rfu
1,ank_only,0,0,-0.44,-0.06,0.16,0.17
1,ank_only,0,0,-0.21,0,-0.02,-0.03
1,ank_only,0,0,-0.35,-0.04,0.02,0.02
1,ank_only,0,0,-0.55,-0.09,0,0
1,ank_only,0,0,-0.56,-0.09,0.02,0.02
1,ank_only,0,0,-0.67,-0.12,-0.01,-0.01
1,ank_only,0,0,-0.38,-0.04,0.01,0.01
2,ank_only,0.1,0,0.93,0.28,0.72,0.73
2,ank_only,0.1,0,1.66,0.47,0.4,0.41
2,ank_only,0.1,0,1.62,0.46,0.18,0.18
2,ank_only,0.1,0,1.79,0.5,0.14,0.14
2,ank_only,0.1,0,2.02,0.55,0.15,0.15
3,ank_only,0.5,0,13.49,3.42,0.38,0.38
3,ank_only,0.5,0,13.44,3.41,0.55,0.55
3,ank_only,0.5,0,13.3,3.38,0.44,0.44
3,ank_only,0.5,0,13.22,3.35,0.53,0.53
3,ank_only,0.5,0,13.11,3.32,0.53,0.54
3,ank_only,0.5,0,13.4,3.4,0.64,0.64
3,ank_only,0.5,0,13.26,3.36,0.7,0.71
4,ank_only,1,0,28.67,7.21,1.18,1.19
4,ank_only,1,0,28.39,7.14,1.16,1.18
4,ank_only,1,0,28.48,7.16,1.15,1.17
4,ank_only,1,0,28.97,7.28,1.11,1.12
4,ank_only,1,0,26.3,6.62,1.17,1.19
5,ank_only,2,0,59.37,14.87,1.7,1.73
5,ank_only,2,0,65.8,16.47,2.46,2.5
5,ank_only,2,0,59.97,15.02,2.42,2.46
5,ank_only,2,0,57.11,14.31,2.45,2.48
5,ank_only,2,0,62.19,15.57,2.47,2.5
7,mic_only,0,0,-0.24,-0.01,0.3,0.3
7,mic_only,0,0,-0.59,-0.1,0.24,0.24
7,mic_only,0,0,-0.52,-0.08,0.04,0.04
7,mic_only,0,0,-0.09,0.03,-0.01,-0.02
8,mic_only,0,0.1,-0.32,-0.03,0.32,0.32
8,mic_only,0,0.1,-0.38,-0.04,0.08,0.08
8,mic_only,0,0.1,-0.12,0.02,0.08,0.08
8,mic_only,0,0.1,-0.13,0.02,0.09,0.09
8,mic_only,0,0.1,-0.27,-0.02,0.12,0.12
9,mic_only,0,0.5,-0.36,-0.04,0.6,0.61
9,mic_only,0,0.5,-0.34,-0.03,0.5,0.51
9,mic_only,0,0.5,-0.26,-0.01,0.43,0.44
9,mic_only,0,0.5,-0.25,-0.01,0.41,0.42
10,mic_only,0,1,-0.38,-0.04,1.14,1.15
10,mic_only,0,1,-0.4,-0.05,1.02,1.03
10,mic_only,0,1,-0.13,0.02,0.97,0.99
10,mic_only,0,1,0.09,0.07,0.97,0.99
10,mic_only,0,1,0.45,0.16,1.02,1.04
11,mic_only,0,2,0.05,0.06,1.92,1.95
11,mic_only,0,2,-0.11,0.02,2.12,2.16
11,mic_only,0,2,-0.23,-0.01,2.1,2.13
11,mic_only,0,2,-0.13,0.02,2.16,2.19
13,combo,0,0,-0.22,0,0.26,0.26
13,combo,0,0,-0.35,-0.04,0.27,0.28
13,combo,0,0,-0.38,-0.04,0.11,0.12
13,combo,0,0,-0.33,-0.03,0.02,0.02
14,combo,0.1,0.1,0.05,0.06,0.61,0.62
14,combo,0.1,0.1,0.45,0.16,0.63,0.63
14,combo,0.1,0.1,0.53,0.18,0.37,0.37
14,combo,0.1,0.1,0.43,0.16,0.09,0.09
15,combo,0.1,0.5,0.83,0.26,0.46,0.47
